Company,Fiscal Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
Microsoft,2023,"1,98,270","72,738","3,64,840","1,98,298","89,035"
Microsoft,2023,"2,11,915","72,361","4,11,976","2,05,753","87,582"
Microsoft,2024,"2,45,122","88,136","5,12,163","2,43,686","1,18,548"
Tesla,2022,"81,462","12,587",4828 ,2215 ,14724 
Tesla,2023,96773 ,14974 ,4087 ,3777 ,13256 
Tesla,2024,97690 ,7153 ,3228 ,4057 ,14923 
Apple,2022,394328 ,99803 ,352755 ,302083 ,122151 
Apple,2023,383285 ,96995 ,352583 ,290437 ,110543 
Apple,2024,391035 ,93736 ,364980 ,308030 ,118254 
